고객ID,고객등급,성별,연령대,지역,가입일,최근문의일,누적문의수,마케팅수신동의,이탈위험도
CUST-10675,일반,여,30대,강원,2023-05-03,2023-06-23,1,N,보통
CUST-10676,SILVER,여,40대,부산,2022-08-16,2023-03-23,9,Y,낮음
CUST-10677,일반,여,60대 이상,광주,2022-06-06,2023-03-12,2,Y,낮음
CUST-10678,GOLD,남,40대,경기,2023-01-15,2023-06-06,9,N,보통
CUST-10679,SILVER,여,50대,대전,2022-01-16,2022-06-05,5,Y,낮음
CUST-10680,SILVER,남,20대,인천,2020-08-07,2021-07-11,2,N,낮음
CUST-10681,VIP,남,40대,부산,2020-03-06,2020-07-04,24,N,낮음
CUST-10682,일반,여,30대,인천,2023-08-24,2024-04-07,7,Y,보통
CUST-10683,SILVER,남,50대,대전,2020-09-04,2021-03-26,1,Y,낮음
CUST-10684,SILVER,여,30대,충북,2020-06-01,2020-12-13,7,N,낮음
CUST-10685,일반,남,20대,경남,2023-01-17,2023-11-12,1,Y,높음
CUST-10686,VIP,여,60대 이상,경남,2021-11-04,2022-01-07,24,N,낮음
CUST-10687,일반,남,40대,부산,2020-12-11,2021-06-25,1,N,보통
CUST-10688,SILVER,여,40대,서울,2022-10-11,2023-03-31,3,N,낮음
CUST-10689,일반,남,30대,전남,2023-01-08,2024-01-08,3,N,낮음
CUST-10690,일반,여,20대,광주,2021-05-13,2022-04-28,1,Y,높음
CUST-10691,일반,남,40대,경기,2022-05-20,2022-06-03,3,Y,낮음
CUST-10692,SILVER,남,20대,인천,2020-12-14,2021-09-08,8,N,낮음
CUST-10693,일반,남,40대,부산,2020-12-31,2021-01-28,4,Y,보통
CUST-10694,일반,여,40대,경기,2020-04-09,2020-05-26,1,Y,높음
CUST-10695,GOLD,여,50대,경북,2020-10-15,2020-11-13,16,Y,낮음
CUST-10696,GOLD,남,40대,서울,2021-07-20,2021-11-04,8,Y,낮음
CUST-10697,일반,남,20대,전북,2020-09-25,2020-10-14,4,Y,보통
CUST-10698,일반,남,20대,충북,2020-05-19,2021-03-05,5,N,보통
CUST-10699,일반,여,30대,대구,2020-10-18,2021-01-18,1,Y,보통
CUST-10700,VIP,여,50대,서울,2020-11-07,2021-10-19,24,N,낮음
CUST-10701,일반,여,30대,경기,2020-04-02,2020-07-20,1,N,높음
CUST-10702,일반,여,20대,제주,2022-10-12,2023-02-24,1,N,보통
CUST-10703,일반,남,40대,경북,2020-07-16,2021-05-15,5,Y,낮음
CUST-10704,GOLD,남,30대,광주,2022-05-11,2023-03-16,3,N,높음
CUST-10705,VIP,여,40대,부산,2021-01-12,2021-04-30,31,N,낮음
CUST-10706,SILVER,남,50대,서울,2020-01-16,2020-06-02,10,N,낮음
CUST-10707,일반,여,30대,경기,2023-07-31,2024-05-16,1,N,낮음
CUST-10708,SILVER,여,60대 이상,서울,2021-11-27,2022-01-12,4,Y,보통
CUST-10709,SILVER,여,20대,서울,2022-11-15,2023-04-25,5,Y,낮음
CUST-10710,GOLD,남,40대,인천,2021-06-23,2021-10-28,4,N,낮음
CUST-10711,일반,여,30대,전북,2021-07-29,2021-09-30,3,Y,낮음
CUST-10712,일반,남,30대,전남,2022-06-19,2023-06-14,1,N,낮음
CUST-10713,일반,여,40대,광주,2022-09-29,2022-11-26,2,N,보통
CUST-10714,SILVER,여,20대,경북,2023-03-23,2023-12-17,1,Y,낮음
CUST-10715,일반,여,40대,전북,2020-03-24,2020-07-09,1,Y,낮음
CUST-10716,VIP,여,20대,서울,2022-03-10,2022-07-14,17,Y,낮음
CUST-10717,SILVER,남,50대,서울,2020-12-29,2021-01-14,7,N,낮음
CUST-10718,SILVER,여,30대,경기,2020-08-01,2020-11-27,9,Y,높음
CUST-10719,GOLD,남,20대,전남,2020-01-21,2020-08-05,1,Y,보통
CUST-10720,SILVER,남,60대 이상,충남,2022-08-10,2022-12-15,4,N,낮음
CUST-10721,SILVER,남,50대,인천,2020-01-11,2020-01-26,14,Y,낮음
CUST-10722,일반,남,30대,경기,2021-03-01,2021-08-25,3,N,높음
CUST-10723,일반,여,30대,전북,2023-08-15,2023-09-25,1,Y,보통
CUST-10724,SILVER,남,20대,부산,2020-10-31,2021-03-01,3,Y,보통
CUST-10725,일반,여,20대,경남,2022-12-08,2023-01-25,3,Y,높음
CUST-10726,GOLD,여,50대,서울,2023-02-17,2023-08-21,17,Y,낮음
CUST-10727,일반,여,20대,경기,2021-10-02,2021-10-08,5,N,낮음
CUST-10728,일반,남,10대,부산,2021-05-26,2021-08-21,6,N,낮음
CUST-10729,일반,남,20대,울산,2022-07-24,2022-08-27,3,N,낮음
CUST-10730,GOLD,여,40대,서울,2023-01-29,2023-06-06,16,Y,높음
CUST-10731,SILVER,여,40대,서울,2020-07-14,2021-06-03,12,Y,보통
CUST-10732,SILVER,남,20대,부산,2020-03-04,2021-02-24,14,N,낮음
CUST-10733,SILVER,여,30대,대전,2020-10-23,2021-03-29,5,N,보통
CUST-10734,일반,남,40대,부산,2021-09-21,2022-02-26,3,N,보통
CUST-10735,SILVER,남,40대,경북,2023-08-27,2023-11-25,13,N,높음
CUST-10736,일반,남,30대,서울,2021-01-27,2021-04-22,3,N,높음
CUST-10737,GOLD,여,30대,대구,2021-07-31,2022-01-28,7,Y,낮음
CUST-10738,SILVER,남,10대,인천,2021-10-03,2022-09-29,8,N,낮음
CUST-10739,GOLD,남,20대,충남,2020-05-11,2020-08-06,9,Y,낮음
CUST-10740,일반,여,40대,서울,2020-03-12,2020-12-29,5,Y,낮음
CUST-10741,일반,남,10대,충북,2022-06-15,2022-10-19,2,N,낮음
CUST-10742,일반,남,40대,대전,2021-06-19,2022-04-16,7,Y,보통
CUST-10743,일반,남,50대,충북,2022-12-03,2023-11-11,2,N,보통
CUST-10744,일반,남,20대,경기,2021-10-16,2022-02-19,3,N,높음
CUST-10745,일반,남,40대,서울,2023-03-02,2023-05-01,3,N,낮음
CUST-10746,GOLD,여,20대,충북,2020-11-18,2021-05-30,3,N,낮음
CUST-10747,GOLD,여,20대,서울,2023-02-17,2023-08-11,15,Y,보통
CUST-10748,일반,여,10대,충북,2021-09-28,2022-05-11,5,Y,보통
CUST-10749,GOLD,여,40대,경기,2022-11-01,2023-03-23,1,N,낮음
CUST-10750,SILVER,남,40대,충북,2020-09-24,2020-12-04,5,N,높음
CUST-10751,일반,여,10대,전남,2020-12-08,2021-06-16,3,N,낮음
CUST-10752,SILVER,남,40대,대구,2022-05-16,2022-05-18,5,N,낮음
CUST-10753,일반,남,40대,경북,2023-01-09,2023-02-19,4,N,낮음
CUST-10754,일반,남,30대,인천,2020-04-16,2020-11-22,2,Y,보통
CUST-10755,SILVER,여,20대,서울,2020-12-08,2021-09-10,5,N,낮음
CUST-10756,SILVER,여,30대,경기,2023-07-22,2023-08-23,6,Y,보통
CUST-10757,GOLD,여,40대,인천,2021-11-11,2022-09-09,15,Y,높음
CUST-10758,일반,남,20대,대전,2023-02-18,2023-05-13,1,N,낮음
CUST-10759,GOLD,여,20대,서울,2021-03-04,2021-12-05,16,N,낮음
CUST-10760,일반,여,30대,경기,2023-02-12,2023-11-28,1,Y,보통
CUST-10761,SILVER,여,60대 이상,경기,2020-11-29,2021-11-25,9,Y,보통
CUST-10762,일반,여,30대,부산,2022-07-08,2023-03-01,2,N,낮음
CUST-10763,일반,여,20대,서울,2020-11-23,2021-03-28,1,N,낮음
CUST-10764,SILVER,남,40대,경남,2022-08-29,2022-09-18,7,Y,낮음
CUST-10765,SILVER,남,40대,서울,2023-11-03,2024-03-21,4,Y,낮음
CUST-10766,GOLD,남,20대,제주,2020-06-20,2021-02-04,16,N,낮음
CUST-10767,일반,여,30대,인천,2022-06-17,2022-07-25,4,Y,낮음
CUST-10768,일반,여,40대,대전,2022-12-04,2023-03-28,5,Y,낮음
CUST-10769,일반,여,40대,강원,2023-05-08,2023-11-16,4,N,높음
CUST-10770,일반,여,40대,경남,2020-01-22,2020-07-14,4,N,보통
CUST-10771,GOLD,여,30대,부산,2022-03-11,2022-05-17,18,Y,낮음
CUST-10772,SILVER,여,50대,광주,2023-01-24,2023-09-06,10,N,낮음
CUST-10773,SILVER,남,50대,서울,2020-11-18,2021-10-18,1,N,보통
CUST-10774,일반,남,20대,서울,2021-03-31,2021-11-16,4,N,낮음
CUST-10775,일반,여,20대,서울,2022-11-24,2023-04-02,6,N,보통
CUST-10776,일반,남,50대,경기,2021-03-20,2021-05-31,1,Y,높음
CUST-10777,일반,남,30대,경북,2022-07-25,2023-03-22,4,N,낮음
CUST-10778,SILVER,남,30대,충북,2022-10-26,2023-03-05,12,Y,낮음
CUST-10779,GOLD,여,50대,경기,2022-03-09,2022-07-27,16,Y,낮음
CUST-10780,SILVER,남,30대,인천,2022-09-07,2023-03-22,3,N,낮음
CUST-10781,SILVER,남,30대,전북,2020-08-05,2020-08-15,5,N,낮음
CUST-10782,일반,남,30대,경기,2020-04-23,2021-04-16,5,N,낮음
CUST-10783,일반,여,50대,강원,2021-01-20,2021-09-17,1,Y,낮음
CUST-10784,일반,남,20대,경기,2023-02-01,2023-09-20,4,Y,낮음
CUST-10785,SILVER,여,40대,전북,2020-12-13,2020-12-29,10,Y,높음
CUST-10786,일반,여,50대,경기,2023-03-01,2024-02-22,4,N,낮음
CUST-10787,일반,여,40대,인천,2020-09-06,2021-05-18,4,N,높음
CUST-10788,SILVER,남,50대,전북,2023-04-08,2024-03-04,7,Y,높음
CUST-10789,일반,여,20대,대전,2021-03-07,2021-12-22,3,Y,낮음
CUST-10790,일반,여,50대,대구,2020-02-24,2020-10-27,3,Y,보통
CUST-10791,일반,여,40대,경기,2021-01-14,2021-04-13,3,N,보통
CUST-10792,일반,남,20대,인천,2022-01-11,2022-12-20,1,Y,낮음
CUST-10793,SILVER,여,40대,인천,2022-11-25,2023-05-01,6,Y,낮음
CUST-10794,SILVER,여,40대,부산,2021-02-25,2021-09-27,9,Y,낮음
CUST-10795,SILVER,남,20대,경기,2023-10-14,2024-01-31,5,N,낮음
CUST-10796,GOLD,여,20대,부산,2020-02-28,2020-08-19,9,N,보통
CUST-10797,일반,여,40대,경기,2020-03-20,2020-12-29,4,N,보통
CUST-10798,SILVER,여,30대,경기,2020-11-04,2021-07-29,1,Y,낮음
CUST-10799,일반,여,60대 이상,경기,2020-12-11,2021-10-21,1,Y,낮음
CUST-10800,일반,남,20대,서울,2023-01-28,2024-01-08,3,N,보통
CUST-10801,VIP,남,40대,경기,2021-06-09,2021-11-20,12,Y,보통
CUST-10802,GOLD,남,30대,경기,2023-05-05,2023-12-13,3,Y,보통
CUST-10803,SILVER,남,50대,서울,2020-09-01,2021-02-02,4,Y,낮음
CUST-10804,일반,남,40대,부산,2020-08-23,2021-07-09,2,N,낮음
CUST-10805,일반,여,60대 이상,제주,2023-05-25,2023-09-27,5,Y,보통
CUST-10806,SILVER,여,60대 이상,대구,2022-02-20,2022-08-02,6,N,보통
CUST-10807,일반,여,30대,부산,2023-09-10,2023-10-12,4,N,낮음
CUST-10808,GOLD,남,60대 이상,서울,2021-03-28,2021-07-19,17,Y,높음
CUST-10809,GOLD,남,40대,대전,2023-09-02,2024-02-11,14,N,보통
CUST-10810,일반,여,60대 이상,경남,2020-02-07,2020-06-06,3,N,높음
CUST-10811,SILVER,여,20대,경남,2022-12-09,2023-04-05,4,N,낮음
CUST-10812,일반,남,40대,강원,2022-08-01,2022-08-11,2,Y,낮음
CUST-10813,SILVER,여,30대,경기,2022-02-08,2022-11-19,7,N,보통
CUST-10814,일반,남,20대,경기,2023-09-01,2023-10-16,3,Y,보통
CUST-10815,GOLD,여,60대 이상,경기,2020-07-03,2021-06-17,31,N,낮음
CUST-10816,SILVER,남,50대,인천,2020-09-22,2021-06-30,7,N,보통
CUST-10817,GOLD,남,20대,경북,2021-12-13,2022-07-18,8,N,낮음
CUST-10818,일반,남,60대 이상,대구,2020-08-06,2021-05-31,1,N,낮음
CUST-10819,GOLD,여,50대,경기,2021-02-02,2022-01-17,3,N,보통
CUST-10820,일반,남,50대,경기,2020-02-14,2020-07-07,5,N,낮음
CUST-10821,일반,남,30대,경기,2023-02-26,2023-12-14,1,Y,보통
CUST-10822,일반,여,50대,충남,2022-01-20,2022-05-24,4,N,보통
CUST-10823,일반,여,30대,서울,2021-02-28,2021-11-13,4,N,낮음
CUST-10824,VIP,여,60대 이상,서울,2020-05-22,2020-07-15,11,Y,낮음
CUST-10825,일반,남,50대,서울,2023-06-21,2024-02-13,3,N,높음
CUST-10826,일반,남,40대,울산,2021-10-20,2022-03-19,5,N,낮음
CUST-10827,GOLD,남,50대,경북,2023-11-17,2024-01-17,1,N,낮음
CUST-10828,SILVER,여,40대,경남,2020-08-21,2020-12-24,8,N,높음
CUST-10829,일반,남,60대 이상,경남,2023-11-09,2024-03-18,5,N,낮음
CUST-10830,VIP,여,20대,경기,2023-06-04,2024-01-08,18,Y,보통
CUST-10831,일반,여,20대,부산,2020-10-27,2021-05-04,1,Y,낮음
CUST-10832,일반,남,40대,인천,2023-02-14,2023-03-06,2,Y,낮음
CUST-10833,일반,여,20대,서울,2022-10-29,2023-07-10,1,Y,보통
CUST-10834,SILVER,남,20대,경기,2021-09-03,2022-04-12,2,N,보통
CUST-10835,일반,남,30대,울산,2021-02-06,2021-11-19,3,N,보통
CUST-10836,SILVER,남,40대,경기,2021-04-17,2021-08-12,1,Y,낮음
CUST-10837,SILVER,남,20대,경남,2023-05-26,2023-08-09,5,Y,높음
CUST-10838,SILVER,남,20대,서울,2020-08-01,2021-03-10,9,Y,낮음
CUST-10839,일반,남,40대,경기,2022-02-06,2022-07-11,2,Y,낮음
CUST-10840,일반,남,20대,경기,2023-05-30,2023-12-15,4,N,낮음
CUST-10841,SILVER,남,40대,전남,2021-11-01,2022-01-28,1,N,보통
CUST-10842,일반,남,40대,인천,2021-09-19,2022-05-19,2,Y,낮음
CUST-10843,SILVER,여,50대,서울,2020-08-08,2021-03-09,11,N,낮음
CUST-10844,SILVER,남,40대,서울,2022-12-11,2023-08-23,2,Y,낮음
CUST-10845,일반,남,20대,경북,2021-01-29,2021-02-08,2,Y,높음
CUST-10846,SILVER,남,40대,부산,2022-10-18,2023-05-19,21,Y,낮음
CUST-10847,일반,남,60대 이상,광주,2022-04-30,2022-08-20,4,N,보통
CUST-10848,일반,남,10대,전남,2020-07-05,2020-07-15,3,N,낮음
CUST-10849,일반,남,20대,부산,2021-09-26,2021-10-17,1,Y,낮음
CUST-10850,SILVER,남,40대,서울,2021-10-15,2022-02-10,4,Y,낮음
CUST-10851,SILVER,남,40대,강원,2021-01-27,2021-08-15,4,Y,보통
CUST-10852,SILVER,남,60대 이상,대구,2023-09-30,2024-08-02,1,Y,보통
CUST-10853,일반,여,60대 이상,대전,2020-06-06,2020-07-09,1,Y,낮음
CUST-10854,SILVER,여,50대,서울,2020-03-26,2021-02-28,7,N,높음
CUST-10855,일반,여,20대,서울,2023-03-27,2023-10-16,1,Y,낮음
CUST-10856,SILVER,남,30대,서울,2022-02-11,2022-06-19,7,Y,낮음
CUST-10857,SILVER,여,20대,대구,2022-03-02,2022-10-04,1,Y,보통
CUST-10858,일반,여,40대,서울,2023-01-12,2023-06-30,1,N,보통
CUST-10859,GOLD,여,50대,서울,2022-08-23,2022-08-27,21,Y,보통
CUST-10860,일반,남,30대,대전,2021-07-05,2021-09-02,4,Y,보통
CUST-10861,일반,여,10대,경북,2020-07-28,2021-06-03,4,N,보통
CUST-10862,SILVER,남,50대,경기,2020-01-27,2020-04-04,8,N,낮음
CUST-10863,VIP,남,40대,울산,2020-05-27,2021-01-22,16,Y,보통
CUST-10864,일반,여,50대,대구,2020-07-26,2020-09-23,4,Y,낮음
CUST-10865,일반,여,40대,경기,2021-06-14,2022-02-23,1,Y,보통
CUST-10866,일반,남,30대,서울,2022-03-14,2022-10-06,4,Y,낮음
CUST-10867,일반,여,20대,전남,2023-07-22,2024-04-28,1,N,낮음
CUST-10868,SILVER,여,40대,인천,2023-11-06,2024-03-29,8,Y,낮음
CUST-10869,일반,남,50대,경기,2023-05-30,2024-02-01,3,Y,보통
CUST-10870,GOLD,남,30대,전남,2022-08-30,2022-09-02,14,N,높음
CUST-10871,일반,여,20대,서울,2022-10-06,2023-09-04,1,Y,낮음
CUST-10872,일반,남,50대,경기,2023-05-20,2023-07-14,1,N,낮음
CUST-10873,일반,여,50대,경북,2023-02-05,2024-01-09,4,Y,낮음
CUST-10874,일반,남,20대,서울,2023-05-28,2023-06-23,2,N,보통
CUST-10875,SILVER,남,20대,경기,2022-11-14,2022-12-30,5,N,보통
CUST-10876,GOLD,남,40대,서울,2020-01-11,2020-04-23,9,N,높음
CUST-10877,GOLD,남,10대,전남,2020-03-24,2020-12-09,18,N,낮음
CUST-10878,일반,여,50대,경기,2020-08-01,2021-01-19,3,Y,높음
CUST-10879,GOLD,남,20대,부산,2021-03-06,2021-08-01,10,Y,낮음
CUST-10880,일반,여,50대,경북,2023-07-08,2024-05-01,1,N,낮음
CUST-10881,SILVER,여,30대,충남,2020-12-08,2021-01-05,5,Y,높음
CUST-10882,GOLD,여,20대,경북,2021-05-26,2021-10-28,10,N,낮음
CUST-10883,일반,여,50대,경기,2023-06-11,2023-09-30,5,Y,높음
CUST-10884,SILVER,남,40대,경기,2021-11-09,2022-09-10,6,N,낮음
CUST-10885,SILVER,남,30대,전남,2021-09-03,2022-08-23,5,Y,낮음
CUST-10886,일반,남,50대,광주,2021-11-08,2022-10-31,1,Y,낮음
CUST-10887,GOLD,여,40대,서울,2022-09-02,2022-11-30,11,N,높음
CUST-10888,일반,남,30대,경기,2020-01-17,2020-04-11,3,N,낮음
CUST-10889,일반,남,60대 이상,서울,2020-01-27,2020-02-24,1,N,보통
CUST-10890,일반,여,30대,경기,2022-06-14,2022-10-20,5,N,낮음
CUST-10891,일반,여,60대 이상,인천,2020-05-29,2020-11-25,1,Y,보통
CUST-10892,SILVER,남,20대,충북,2021-05-14,2022-02-16,1,N,보통
CUST-10893,일반,남,40대,인천,2022-08-06,2023-06-08,1,N,낮음
CUST-10894,일반,남,50대,인천,2021-10-31,2022-09-16,1,Y,낮음
CUST-10895,일반,남,40대,서울,2022-05-10,2022-08-17,2,Y,보통
CUST-10896,SILVER,여,60대 이상,경북,2021-07-29,2021-10-31,4,Y,낮음
CUST-10897,SILVER,여,40대,경기,2022-09-19,2022-11-17,5,N,낮음
CUST-10898,일반,여,40대,서울,2020-05-11,2021-02-27,2,Y,높음
CUST-10899,일반,여,40대,전남,2021-11-16,2022-08-24,1,Y,낮음
CUST-10900,GOLD,여,20대,대구,2020-08-22,2021-04-25,1,N,낮음
CUST-10901,일반,남,60대 이상,서울,2020-02-11,2020-11-07,3,Y,낮음
CUST-10902,일반,남,40대,부산,2023-12-10,2024-06-02,3,N,높음
CUST-10903,일반,여,40대,부산,2020-01-25,2020-08-04,5,N,낮음
CUST-10904,GOLD,남,30대,경기,2023-11-07,2024-11-02,6,N,낮음
CUST-10905,SILVER,여,20대,전북,2020-08-18,2020-12-18,8,Y,보통
CUST-10906,SILVER,남,40대,경북,2023-11-18,2024-04-17,6,N,보통
CUST-10907,일반,남,40대,경기,2023-08-08,2024-02-20,5,N,높음
CUST-10908,일반,남,20대,부산,2021-11-23,2022-10-16,4,Y,낮음
CUST-10909,일반,여,40대,경기,2023-02-14,2023-11-22,5,N,낮음
CUST-10910,SILVER,여,50대,부산,2023-01-14,2023-09-05,6,Y,높음
CUST-10911,일반,여,30대,경기,2022-06-02,2022-09-20,3,Y,보통
CUST-10912,SILVER,남,40대,서울,2023-03-22,2023-06-01,8,Y,낮음
CUST-10913,SILVER,남,40대,전북,2023-09-23,2024-01-22,11,Y,보통
CUST-10914,SILVER,여,40대,경기,2022-10-29,2023-02-21,6,Y,낮음
CUST-10915,일반,남,20대,울산,2022-02-08,2023-01-19,1,N,보통
CUST-10916,VIP,남,20대,서울,2022-08-11,2023-02-03,23,Y,보통
CUST-10917,SILVER,여,60대 이상,인천,2022-04-28,2022-12-27,7,Y,높음
CUST-10918,GOLD,남,20대,충남,2021-03-29,2022-01-31,5,Y,보통
CUST-10919,일반,남,10대,부산,2020-06-02,2020-09-28,1,N,낮음
CUST-10920,SILVER,남,30대,서울,2021-07-11,2021-08-23,4,N,보통
CUST-10921,일반,남,40대,경북,2020-01-10,2020-04-24,2,N,보통
CUST-10922,SILVER,남,40대,서울,2020-09-25,2021-01-05,7,N,보통
CUST-10923,SILVER,남,20대,광주,2022-12-23,2023-11-17,8,Y,보통
CUST-10924,SILVER,여,30대,전남,2023-10-12,2024-03-22,2,N,보통
CUST-10925,SILVER,남,50대,대구,2021-10-08,2022-05-04,1,Y,낮음
CUST-10926,GOLD,여,40대,제주,2021-04-01,2021-11-25,4,N,높음
CUST-10927,SILVER,남,40대,경북,2022-05-29,2023-04-19,2,Y,낮음
CUST-10928,SILVER,남,20대,경기,2023-11-16,2024-09-17,6,N,높음
CUST-10929,GOLD,남,20대,부산,2022-09-18,2023-02-25,16,N,낮음
CUST-10930,일반,남,60대 이상,서울,2021-10-30,2021-12-28,3,N,보통
CUST-10931,일반,남,50대,강원,2023-10-07,2024-01-28,3,N,낮음
CUST-10932,SILVER,여,30대,부산,2020-12-12,2021-11-22,1,N,높음
CUST-10933,일반,여,20대,경북,2023-10-15,2023-12-30,4,N,높음
CUST-10934,GOLD,여,20대,경북,2022-07-24,2023-04-21,13,N,낮음
CUST-10935,일반,여,20대,인천,2021-07-27,2021-12-11,3,Y,낮음
CUST-10936,일반,남,40대,경기,2023-08-15,2023-08-23,2,N,보통
CUST-10937,일반,남,50대,전남,2020-02-25,2020-10-18,3,N,낮음
CUST-10938,VIP,남,60대 이상,경기,2021-08-25,2021-11-30,20,Y,높음
CUST-10939,일반,남,30대,인천,2022-09-03,2023-05-22,2,N,높음
CUST-10940,일반,남,40대,인천,2021-10-19,2021-11-06,5,Y,높음
CUST-10941,일반,여,10대,서울,2023-04-23,2023-06-18,2,N,보통
CUST-10942,일반,남,40대,전남,2023-07-31,2023-12-15,3,N,낮음
CUST-10943,SILVER,남,40대,전북,2020-05-02,2020-11-07,2,Y,보통
CUST-10944,GOLD,남,40대,대전,2021-08-01,2021-12-17,15,Y,낮음
CUST-10945,GOLD,여,50대,경기,2021-10-24,2022-05-28,9,Y,낮음
CUST-10946,일반,여,10대,충북,2023-01-01,2023-10-09,3,N,낮음
CUST-10947,GOLD,남,50대,경기,2021-09-16,2022-03-13,12,Y,낮음
CUST-10948,SILVER,남,40대,경북,2020-09-09,2021-03-07,2,N,낮음
CUST-10949,일반,남,50대,서울,2021-09-27,2022-06-24,7,N,낮음
CUST-10950,일반,남,40대,서울,2023-08-30,2024-03-13,2,Y,높음
CUST-10951,일반,여,30대,인천,2021-07-07,2021-12-20,4,Y,보통
CUST-10952,일반,여,20대,경기,2020-01-01,2020-09-19,4,Y,낮음
CUST-10953,일반,남,50대,제주,2020-03-29,2020-05-02,1,Y,높음
CUST-10954,일반,여,30대,경기,2022-05-21,2022-06-04,3,N,보통
CUST-10955,일반,남,20대,경기,2020-10-01,2021-03-27,1,N,낮음
CUST-10956,SILVER,여,10대,서울,2023-05-01,2023-11-21,2,Y,보통
CUST-10957,일반,남,10대,충북,2020-05-04,2021-04-04,2,Y,보통
CUST-10958,일반,남,30대,전북,2022-07-24,2023-05-04,10,N,보통
CUST-10959,일반,여,40대,광주,2020-11-04,2021-04-22,4,N,낮음
CUST-10960,일반,여,50대,경남,2023-02-23,2024-01-04,1,N,보통
CUST-10961,SILVER,남,40대,충남,2023-06-15,2023-11-17,5,N,보통
CUST-10962,일반,여,40대,서울,2023-01-10,2023-11-11,4,Y,보통
CUST-10963,일반,남,30대,강원,2022-10-13,2023-08-08,5,N,낮음
CUST-10964,SILVER,여,50대,부산,2021-12-05,2022-11-21,7,Y,낮음
CUST-10965,VIP,남,40대,광주,2022-01-03,2022-07-31,15,Y,낮음
CUST-10966,일반,남,40대,인천,2022-07-31,2022-09-19,4,Y,낮음
CUST-10967,일반,여,20대,경기,2022-04-01,2022-09-08,1,N,보통
CUST-10968,SILVER,여,40대,서울,2022-10-12,2023-08-11,1,N,보통
CUST-10969,SILVER,남,30대,광주,2021-10-01,2021-12-06,12,N,보통
CUST-10970,일반,남,10대,서울,2020-09-18,2021-01-01,1,N,낮음
CUST-10971,GOLD,남,30대,경북,2022-01-27,2022-10-16,14,N,보통
CUST-10972,SILVER,남,40대,강원,2023-01-08,2023-08-27,14,N,낮음
CUST-10973,일반,남,40대,충남,2021-02-06,2022-01-08,4,Y,낮음
CUST-10974,일반,여,60대 이상,인천,2021-12-05,2022-05-17,1,N,낮음
CUST-10975,일반,남,40대,인천,2020-10-15,2020-11-06,4,Y,높음
CUST-10976,SILVER,남,20대,대구,2021-10-28,2021-10-30,1,N,낮음
CUST-10977,일반,남,30대,대구,2020-11-23,2021-08-13,1,N,높음
CUST-10978,일반,남,30대,경기,2020-08-07,2021-02-08,4,N,보통
CUST-10979,GOLD,남,30대,충북,2020-03-09,2020-07-16,18,N,높음
CUST-10980,SILVER,여,20대,경기,2023-10-04,2024-01-08,9,N,낮음
CUST-10981,VIP,여,40대,광주,2023-09-28,2024-06-10,45,Y,보통
CUST-10982,일반,남,20대,대전,2020-06-21,2020-09-23,5,N,높음
CUST-10983,GOLD,남,50대,대전,2023-08-22,2024-03-14,17,Y,보통
CUST-10984,VIP,남,30대,서울,2021-12-22,2022-03-20,20,N,낮음
CUST-10985,일반,남,60대 이상,인천,2022-03-31,2022-09-06,4,Y,보통
CUST-10986,일반,남,60대 이상,경기,2021-10-17,2022-08-30,7,N,보통
CUST-10987,GOLD,남,60대 이상,강원,2022-08-08,2022-10-16,15,N,높음
CUST-10988,일반,여,40대,강원,2021-05-13,2022-01-21,2,N,낮음
CUST-10989,GOLD,남,50대,경기,2021-03-18,2021-10-17,5,Y,보통
CUST-10990,SILVER,남,40대,울산,2021-08-30,2021-12-16,5,Y,낮음
CUST-10991,SILVER,남,60대 이상,울산,2021-08-18,2022-05-16,11,N,낮음
CUST-10992,일반,여,40대,서울,2023-12-30,2024-09-04,5,Y,낮음
CUST-10993,일반,여,20대,서울,2022-05-22,2023-01-18,4,Y,보통
CUST-10994,SILVER,남,30대,전북,2022-06-29,2022-07-26,3,Y,높음
CUST-10995,일반,남,30대,강원,2020-12-03,2021-11-16,3,Y,낮음
CUST-10996,일반,남,30대,대구,2021-07-22,2022-01-06,2,Y,낮음
CUST-10997,일반,여,40대,서울,2021-11-05,2022-05-25,1,Y,낮음
CUST-10998,일반,여,20대,부산,2020-09-17,2020-11-07,4,Y,보통
CUST-10999,일반,여,50대,경기,2022-02-18,2022-12-12,1,Y,낮음
CUST-11000,일반,여,20대,경기,2020-08-15,2020-08-16,2,N,보통
CUST-11001,SILVER,남,20대,서울,2021-12-08,2022-07-23,7,N,보통
CUST-11002,일반,여,30대,부산,2020-09-26,2020-11-25,2,N,높음
CUST-11003,일반,여,40대,경기,2023-08-11,2023-10-10,3,Y,낮음
CUST-11004,VIP,여,40대,충남,2022-06-07,2022-10-25,31,Y,낮음
CUST-11005,SILVER,여,20대,인천,2022-05-26,2022-10-11,4,N,낮음
CUST-11006,일반,여,50대,울산,2020-09-30,2020-12-23,1,N,높음
CUST-11007,일반,남,10대,경기,2021-08-11,2021-11-24,7,Y,높음
CUST-11008,일반,여,40대,경남,2020-06-21,2020-09-01,1,Y,보통
CUST-11009,일반,여,20대,대구,2022-02-17,2022-03-02,5,N,낮음
CUST-11010,SILVER,여,30대,서울,2020-11-16,2021-11-11,1,Y,낮음
CUST-11011,일반,여,50대,서울,2020-01-19,2020-05-28,5,Y,보통
CUST-11012,일반,남,50대,서울,2021-05-09,2021-10-02,2,Y,높음
